"subj","wordNo","readTimes","word","item","quant","pred","itemtype"
"subj1",15,368,"day.","filler-item26",NA,NA,"filler"
"subj1",1,384,"The","filler-item23",NA,NA,"filler"
"subj1",2,536,"ballerina","filler-item23",NA,NA,"filler"
"subj1",3,440,"will","filler-item23",NA,NA,"filler"
"subj1",4,360,"train","filler-item23",NA,NA,"filler"
"subj1",5,416,"with","filler-item23",NA,NA,"filler"
"subj1",6,392,"a","filler-item23",NA,NA,"filler"
"subj1",7,472,"French","filler-item23",NA,NA,"filler"
"subj1",8,408,"master","filler-item23",NA,NA,"filler"
"subj1",9,744,"next","filler-item23",NA,NA,"filler"
"subj1",10,1072,"year.","filler-item23",NA,NA,"filler"
"subj1",1,360,"No","filler-item18",NA,NA,"filler"
"subj1",2,472,"tornadoes","filler-item18",NA,NA,"filler"
"subj1",3,432,"threatened","filler-item18",NA,NA,"filler"
"subj1",4,456,"more","filler-item18",NA,NA,"filler"
"subj1",5,423,"than","filler-item18",NA,NA,"filler"
"subj1",6,569,"two","filler-item18",NA,NA,"filler"
"subj1",7,528,"villages","filler-item18",NA,NA,"filler"
"subj1",8,399,"last","filler-item18",NA,NA,"filler"
"subj1",9,392,"year.","filler-item18",NA,NA,"filler"
"subj1",1,336,"The","filler-item4",NA,NA,"filler"
"subj1",2,328,"gardener","filler-item4",NA,NA,"filler"
"subj1",3,368,"grew","filler-item4",NA,NA,"filler"
"subj1",4,320,"the","filler-item4",NA,NA,"filler"
"subj1",5,400,"vegetables","filler-item4",NA,NA,"filler"
"subj1",6,311,"plump","filler-item4",NA,NA,"filler"
"subj1",7,417,"every","filler-item4",NA,NA,"filler"
"subj1",8,431,"season.","filler-item4",NA,NA,"filler"
"subj1",1,384,"The","filler-item6",NA,NA,"filler"
"subj1",2,328,"surgeons","filler-item6",NA,NA,"filler"
"subj1",3,400,"did","filler-item6",NA,NA,"filler"
"subj1",4,336,"the","filler-item6",NA,NA,"filler"
"subj1",5,415,"operation","filler-item6",NA,NA,"filler"
"subj1",6,497,"early","filler-item6",NA,NA,"filler"
"subj1",7,352,"in","filler-item6",NA,NA,"filler"
"subj1",8,272,"the","filler-item6",NA,NA,"filler"
"subj1",9,351,"morning.","filler-item6",NA,NA,"filler"
"subj1",1,320,"All","filler-item16",NA,NA,"filler"
"subj1",2,392,"insects","filler-item16",NA,NA,"filler"
"subj1",3,376,"studied","filler-item16",NA,NA,"filler"
"subj1",4,320,"in","filler-item16",NA,NA,"filler"
"subj1",5,320,"the","filler-item16",NA,NA,"filler"
"subj1",6,272,"lab","filler-item16",NA,NA,"filler"
"subj1",7,376,"here","filler-item16",NA,NA,"filler"
"subj1",8,344,"have","filler-item16",NA,NA,"filler"
"subj1",9,488,"potentially","filler-item16",NA,NA,"filler"
"subj1",10,368,"fatal","filler-item16",NA,NA,"filler"
"subj1",11,368,"poisons.","filler-item16",NA,NA,"filler"
"subj1",1,352,"The","filler-item1",NA,NA,"filler"
"subj1",2,352,"plants","filler-item1",NA,NA,"filler"
"subj1",3,336,"in","filler-item1",NA,NA,"filler"
"subj1",4,312,"the","filler-item1",NA,NA,"filler"
"subj1",5,352,"front","filler-item1",NA,NA,"filler"
"subj1",6,400,"yard","filler-item1",NA,NA,"filler"
"subj1",7,352,"blossomed","filler-item1",NA,NA,"filler"
"subj1",8,336,"red","filler-item1",NA,NA,"filler"
"subj1",9,376,"yesterday","filler-item1",NA,NA,"filler"
"subj1",10,336,"morning.","filler-item1",NA,NA,"filler"
"subj1",1,375,"The","filler-item27",NA,NA,"filler"
"subj1",2,505,"speculators","filler-item27",NA,NA,"filler"
"subj1",3,456,"bled","filler-item27",NA,NA,"filler"
